"","lon","lat"
"181",-122.6668853,45.555109
"182",-122.5600855,45.5738744
"183",-122.816077,45.526886
"184",-122.6793801,45.5082516
"185",-122.4949421,45.5060226
"186",-122.6775471,45.5202007
"187",-122.5802742,45.4990766
"188",-122.6549012,45.511969
"189",-122.5563733,45.5332886
"190",-122.6143554,45.5117332
"191",-122.6946318,45.4789517
"192",-122.6336527,45.5303658
"193",-122.6783094,45.6092354
"194",-122.6872395,45.5827942
"195",-122.6614121,45.5487818
"196",-122.6568428,45.5347501
"197",-122.6732185,45.4791342
"198",-122.5397612,45.5249118
"199",-122.6488144,45.4720941
"200",-122.536282,45.553037
"201",-122.6809499,45.5298964
"202",-122.6094529,45.4972546
"203",-122.7548932,45.4838854
"204",-122.5881838,45.5487873
"205",-122.7561974,45.5918531
"206",-122.6831829,45.51834
"207",-122.7004656,45.5238872
"208",-122.7670874,45.4991168
"209",-122.6178695,45.4787631
"210",-124.072126,42.8806519
"211",-118.7114596,44.4626012
"212",-120.8318572,44.3022149
"213",-122.491686,42.748815
"214",-122.9619689,46.0970291
"215",-121.1755317,44.3015104
"216",-121.1863771,44.2532647
"217",-124.1101916,43.700014
"218",-117.1683123,44.7689903
"219",-123.3662277,42.9505747
"220",-123.9445714,45.6075696
"221",-123.1647833,42.432107
"222",-123.348391,43.225104
"223",NA,NA
"224",-123.0301811,44.8805539
"225",-123.0414201,44.9389059
"226",-122.9817254,44.9392426
"227",-122.98398,44.9626705
"228",-122.9760653,44.9137651
"229",-123.0433862,44.9081326
"230",-123.0499287,44.95128
"231",-122.2647795,45.3965928
"232",-122.87838,45.7576562
"233",-122.8484491,44.705693
"234",-123.92238,45.9890163
"235",-123.614373,42.2796825
"236",-122.8107629,42.6189614
"237",-123.3949707,45.0996221
"238",-122.8444384,45.3662793
"239",-121.0501742,43.1278748
"240",-122.784001,45.0116183
"241",-121.5502988,44.2911272
"242",-121.5625643,44.2967232
"243",-122.932609,44.044864
"244",-123.0393162,44.0848047
"245",-123.0028207,44.0573892
"246",-122.802825,45.8653041
"247",-119.2173377,45.7794078
"248",-122.7927196,44.8133735
"249",-118.2011957,44.746108
"250",NA,NA
