County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,90,2,"1,532",9/19/2020,9/19/2020
Benton,279,6,"12,096",9/19/2020,9/19/2020
Clackamas,"2,237",61,"56,699",9/19/2020,9/19/2020
Clatsop,113,0,"5,281",9/19/2020,9/19/2020
Columbia,150,1,"6,599",9/19/2020,9/19/2020
Coos,136,0,"6,385",9/19/2020,9/19/2020
Crook,60,1,"2,460",9/19/2020,9/19/2020
Curry,27,0,"1,689",9/19/2020,9/19/2020
Deschutes,760,12,"27,956",9/19/2020,9/19/2020
Douglas,206,3,"12,126",9/19/2020,9/19/2020
Gilliam,7,0,264,9/19/2020,9/19/2020
Grant,8,0,857,9/19/2020,9/19/2020
Harney,12,0,759,9/19/2020,9/19/2020
Hood River,241,0,"4,758",9/19/2020,9/19/2020
Jackson,"1,034",4,"31,655",9/19/2020,9/19/2020
Jefferson,511,8,"4,490",9/19/2020,9/19/2020
Josephine,183,2,"11,263",9/19/2020,9/19/2020
Klamath,272,2,"9,806",9/19/2020,9/19/2020
Lake,28,0,855,9/19/2020,9/19/2020
Lane,944,15,"60,022",9/19/2020,9/19/2020
Lincoln,472,13,"8,409",9/19/2020,9/19/2020
Linn,458,13,"15,566",9/19/2020,9/19/2020
Malheur,"1,512",23,"4,790",9/19/2020,9/19/2020
Marion,"4,427",89,"45,143",9/19/2020,9/19/2020
Morrow,485,6,"1,678",9/19/2020,9/19/2020
Multnomah,"6,779",130,"133,105",9/19/2020,9/19/2020
Polk,501,15,"8,399",9/19/2020,9/19/2020
Sherman,18,0,326,9/19/2020,9/19/2020
Tillamook,48,0,"2,904",9/19/2020,9/19/2020
Umatilla,"2,905",41,"12,651",9/19/2020,9/19/2020
Union,435,2,"3,416",9/19/2020,9/19/2020
Wallowa,28,1,927,9/19/2020,9/19/2020
Wasco,234,3,"4,701",9/19/2020,9/19/2020
Washington,"4,264",58,"87,235",9/19/2020,9/19/2020
Wheeler,0,0,159,9/19/2020,9/19/2020
Yamhill,735,14,"16,350",9/19/2020,9/19/2020
Total,"30,599",525,"603,311",9/19/2020,9/19/2020
Baker,90,2,"1,533",9/20/2020,9/20/2020
Benton,285,6,"12,143",9/20/2020,9/20/2020
Clackamas,"2,256",61,"56,853",9/20/2020,9/20/2020
Clatsop,117,0,"5,304",9/20/2020,9/20/2020
Columbia,154,1,"6,608",9/20/2020,9/20/2020
Coos,138,0,"6,445",9/20/2020,9/20/2020
Crook,60,1,"2,470",9/20/2020,9/20/2020
Curry,27,0,"1,705",9/20/2020,9/20/2020
Deschutes,769,12,"28,147",9/20/2020,9/20/2020
Douglas,209,3,"12,176",9/20/2020,9/20/2020
Gilliam,8,0,265,9/20/2020,9/20/2020
Grant,8,0,862,9/20/2020,9/20/2020
Harney,12,0,764,9/20/2020,9/20/2020
Hood River,245,0,"4,772",9/20/2020,9/20/2020
Jackson,"1,039",4,"31,732",9/20/2020,9/20/2020
Jefferson,513,8,"4,499",9/20/2020,9/20/2020
Josephine,183,2,"11,311",9/20/2020,9/20/2020
Klamath,273,2,"9,844",9/20/2020,9/20/2020
Lake,28,0,853,9/20/2020,9/20/2020
Lane,964,15,"60,349",9/20/2020,9/20/2020
Lincoln,472,13,"8,406",9/20/2020,9/20/2020
Linn,466,13,"15,580",9/20/2020,9/20/2020
Malheur,"1,527",23,"4,819",9/20/2020,9/20/2020
Marion,"4,447",90,"45,305",9/20/2020,9/20/2020
Morrow,488,6,"1,682",9/20/2020,9/20/2020
Multnomah,"6,818",130,"133,456",9/20/2020,9/20/2020
Polk,502,15,"8,442",9/20/2020,9/20/2020
Sherman,18,0,327,9/20/2020,9/20/2020
Tillamook,48,0,"2,915",9/20/2020,9/20/2020
Umatilla,"2,913",41,"12,629",9/20/2020,9/20/2020
Union,435,2,"3,409",9/20/2020,9/20/2020
Wallowa,28,1,930,9/20/2020,9/20/2020
Wasco,234,3,"4,709",9/20/2020,9/20/2020
Washington,"4,289",58,"87,468",9/20/2020,9/20/2020
Wheeler,0,0,159,9/20/2020,9/20/2020
Yamhill,738,14,"16,397",9/20/2020,9/20/2020
Total,"30,801",526,"605,268",9/20/2020,9/20/2020
