County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,64,1,1301,2020-08-22,2020-08-22
Benton,201,6,9905,2020-08-22,2020-08-22
Clackamas,1792,55,47555,2020-08-22,2020-08-22
Clatsop,93,0,4446,2020-08-22,2020-08-22
Columbia,121,1,5372,2020-08-22,2020-08-22
Coos,97,0,4877,2020-08-22,2020-08-22
Crook,54,1,2094,2020-08-22,2020-08-22
Curry,20,0,1225,2020-08-22,2020-08-22
Deschutes,664,11,22299,2020-08-22,2020-08-22
Douglas,169,2,9604,2020-08-22,2020-08-22
Gilliam,4,0,235,2020-08-22,2020-08-22
Grant,8,0,642,2020-08-22,2020-08-22
Harney,11,0,658,2020-08-22,2020-08-22
Hood River,225,0,4218,2020-08-22,2020-08-22
Jackson,674,2,22579,2020-08-22,2020-08-22
Jefferson,440,6,3950,2020-08-22,2020-08-22
Josephine,150,2,8184,2020-08-22,2020-08-22
Klamath,221,2,8411,2020-08-22,2020-08-22
Lake,32,0,604,2020-08-22,2020-08-22
Lane,652,5,49440,2020-08-22,2020-08-22
Lincoln,453,11,7376,2020-08-22,2020-08-22
Linn,356,12,12709,2020-08-22,2020-08-22
Malheur,1009,16,3893,2020-08-22,2020-08-22
Marion,3476,75,36783,2020-08-22,2020-08-22
Morrow,419,3,1389,2020-08-22,2020-08-22
Multnomah,5597,109,109910,2020-08-22,2020-08-22
Polk,390,13,6465,2020-08-22,2020-08-22
Sherman,16,0,294,2020-08-22,2020-08-22
Tillamook,37,0,2393,2020-08-22,2020-08-22
Umatilla,2530,32,10664,2020-08-22,2020-08-22
Union,408,2,2802,2020-08-22,2020-08-22
Wallowa,21,1,787,2020-08-22,2020-08-22
Wasco,207,3,4131,2020-08-22,2020-08-22
Washington,3518,32,71313,2020-08-22,2020-08-22
Wheeler,0,0,146,2020-08-22,2020-08-22
Yamhill,581,14,13100,2020-08-22,2020-08-22
Total,24710,417,491754,2020-08-22,2020-08-22
Baker,64,1,1308,2020-08-23,2020-08-23
Benton,201,6,9941,2020-08-23,2020-08-23
Clackamas,1811,55,47800,2020-08-23,2020-08-23
Clatsop,93,0,4486,2020-08-23,2020-08-23
Columbia,123,1,5426,2020-08-23,2020-08-23
Coos,98,0,4904,2020-08-23,2020-08-23
Crook,54,1,2126,2020-08-23,2020-08-23
Curry,20,0,1231,2020-08-23,2020-08-23
Deschutes,672,11,22566,2020-08-23,2020-08-23
Douglas,169,2,9653,2020-08-23,2020-08-23
Gilliam,4,0,236,2020-08-23,2020-08-23
Grant,8,0,646,2020-08-23,2020-08-23
Harney,11,0,659,2020-08-23,2020-08-23
Hood River,225,0,4237,2020-08-23,2020-08-23
Jackson,687,2,22735,2020-08-23,2020-08-23
Jefferson,441,6,3972,2020-08-23,2020-08-23
Josephine,150,2,8252,2020-08-23,2020-08-23
Klamath,223,2,8519,2020-08-23,2020-08-23
Lake,32,0,608,2020-08-23,2020-08-23
Lane,654,5,49722,2020-08-23,2020-08-23
Lincoln,453,11,7395,2020-08-23,2020-08-23
Linn,363,12,12743,2020-08-23,2020-08-23
Malheur,1037,16,3946,2020-08-23,2020-08-23
Marion,3516,75,37057,2020-08-23,2020-08-23
Morrow,421,3,1392,2020-08-23,2020-08-23
Multnomah,5661,109,110603,2020-08-23,2020-08-23
Polk,393,13,6536,2020-08-23,2020-08-23
Sherman,16,0,294,2020-08-23,2020-08-23
Tillamook,37,0,2421,2020-08-23,2020-08-23
Umatilla,2537,32,10714,2020-08-23,2020-08-23
Union,408,2,2807,2020-08-23,2020-08-23
Wallowa,21,1,789,2020-08-23,2020-08-23
Wasco,207,3,4144,2020-08-23,2020-08-23
Washington,3543,32,71688,2020-08-23,2020-08-23
Wheeler,0,0,147,2020-08-23,2020-08-23
Yamhill,584,14,13180,2020-08-23,2020-08-23
Total,24937,417,494883,2020-08-23,2020-08-23
