County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,112,2,2082,2020-10-17,2020-10-17
Benton,413,6,16643,2020-10-17,2020-10-17
Clackamas,2910,65,70580,2020-10-17,2020-10-17
Clatsop,235,0,6395,2020-10-17,2020-10-17
Columbia,243,1,8100,2020-10-17,2020-10-17
Coos,210,0,8176,2020-10-17,2020-10-17
Crook,81,1,2916,2020-10-17,2020-10-17
Curry,56,1,2169,2020-10-17,2020-10-17
Deschutes,1041,13,35646,2020-10-17,2020-10-17
Douglas,313,4,14519,2020-10-17,2020-10-17
Gilliam,11,0,341,2020-10-17,2020-10-17
Grant,10,0,995,2020-10-17,2020-10-17
Harney,13,0,905,2020-10-17,2020-10-17
Hood River,268,1,5617,2020-10-17,2020-10-17
Jackson,1471,6,38772,2020-10-17,2020-10-17
Jefferson,593,9,5357,2020-10-17,2020-10-17
Josephine,255,2,13605,2020-10-17,2020-10-17
Klamath,395,3,11319,2020-10-17,2020-10-17
Lake,35,0,1021,2020-10-17,2020-10-17
Lane,2058,22,74100,2020-10-17,2020-10-17
Lincoln,507,13,9491,2020-10-17,2020-10-17
Linn,734,14,19276,2020-10-17,2020-10-17
Malheur,1841,33,5960,2020-10-17,2020-10-17
Marion,5437,105,55673,2020-10-17,2020-10-17
Morrow,539,6,1966,2020-10-17,2020-10-17
Multnomah,8462,152,164602,2020-10-17,2020-10-17
Polk,626,15,10840,2020-10-17,2020-10-17
Sherman,18,0,376,2020-10-17,2020-10-17
Tillamook,69,0,3411,2020-10-17,2020-10-17
Umatilla,3255,43,14606,2020-10-17,2020-10-17
Union,456,2,4846,2020-10-17,2020-10-17
Wallowa,39,2,1121,2020-10-17,2020-10-17
Wasco,332,15,5643,2020-10-17,2020-10-17
Washington,5345,69,105296,2020-10-17,2020-10-17
Wheeler,1,0,177,2020-10-17,2020-10-17
Yamhill,932,15,19785,2020-10-17,2020-10-17
Total,39316,620,742327,2020-10-17,2020-10-17
Baker,112,2,2097,2020-10-18,2020-10-18
Benton,416,6,16678,2020-10-18,2020-10-18
Clackamas,2918,65,70862,2020-10-18,2020-10-18
Clatsop,235,0,6432,2020-10-18,2020-10-18
Columbia,247,1,8127,2020-10-18,2020-10-18
Coos,214,0,8243,2020-10-18,2020-10-18
Crook,81,1,2930,2020-10-18,2020-10-18
Curry,56,1,2181,2020-10-18,2020-10-18
Deschutes,1047,13,35847,2020-10-18,2020-10-18
Douglas,314,4,14593,2020-10-18,2020-10-18
Gilliam,11,0,346,2020-10-18,2020-10-18
Grant,10,0,1001,2020-10-18,2020-10-18
Harney,13,0,907,2020-10-18,2020-10-18
Hood River,268,1,5651,2020-10-18,2020-10-18
Jackson,1492,6,39034,2020-10-18,2020-10-18
Jefferson,593,9,5380,2020-10-18,2020-10-18
Josephine,256,2,13687,2020-10-18,2020-10-18
Klamath,397,3,11378,2020-10-18,2020-10-18
Lake,35,0,1024,2020-10-18,2020-10-18
Lane,2091,22,74361,2020-10-18,2020-10-18
Lincoln,508,13,9496,2020-10-18,2020-10-18
Linn,741,14,19308,2020-10-18,2020-10-18
Malheur,1842,33,5970,2020-10-18,2020-10-18
Marion,5470,105,55897,2020-10-18,2020-10-18
Morrow,540,6,1972,2020-10-18,2020-10-18
Multnomah,8520,152,165350,2020-10-18,2020-10-18
Polk,628,15,10884,2020-10-18,2020-10-18
Sherman,18,0,379,2020-10-18,2020-10-18
Tillamook,69,0,3429,2020-10-18,2020-10-18
Umatilla,3258,43,14651,2020-10-18,2020-10-18
Union,456,2,4854,2020-10-18,2020-10-18
Wallowa,40,2,1122,2020-10-18,2020-10-18
Wasco,332,15,5671,2020-10-18,2020-10-18
Washington,5365,69,105775,2020-10-18,2020-10-18
Wheeler,1,0,180,2020-10-18,2020-10-18
Yamhill,938,15,19875,2020-10-18,2020-10-18
Total,39532,620,745572,2020-10-18,2020-10-18
