County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,19,0,799,2020-07-25,2020-07-25
Benton,133,6,7772,2020-07-25,2020-07-25
Clackamas,1255,34,34806,2020-07-25,2020-07-25
Clatsop,68,0,3255,2020-07-25,2020-07-25
Columbia,67,0,3963,2020-07-25,2020-07-25
Coos,79,0,3573,2020-07-25,2020-07-25
Crook,31,1,1450,2020-07-25,2020-07-25
Curry,13,0,931,2020-07-25,2020-07-25
Deschutes,439,3,15490,2020-07-25,2020-07-25
Douglas,116,1,7158,2020-07-25,2020-07-25
Gilliam,3,0,142,2020-07-25,2020-07-25
Grant,2,0,474,2020-07-25,2020-07-25
Harney,6,0,513,2020-07-25,2020-07-25
Hood River,149,0,3336,2020-07-25,2020-07-25
Jackson,276,0,16858,2020-07-25,2020-07-25
Jefferson,253,0,2800,2020-07-25,2020-07-25
Josephine,84,1,6023,2020-07-25,2020-07-25
Klamath,180,1,6523,2020-07-25,2020-07-25
Lake,31,0,415,2020-07-25,2020-07-25
Lane,440,3,37144,2020-07-25,2020-07-25
Lincoln,379,8,6384,2020-07-25,2020-07-25
Linn,218,10,9784,2020-07-25,2020-07-25
Malheur,566,7,2777,2020-07-25,2020-07-25
Marion,2385,64,26523,2020-07-25,2020-07-25
Morrow,232,1,996,2020-07-25,2020-07-25
Multnomah,3883,81,78926,2020-07-25,2020-07-25
Polk,243,12,4200,2020-07-25,2020-07-25
Sherman,8,0,231,2020-07-25,2020-07-25
Tillamook,24,0,1852,2020-07-25,2020-07-25
Umatilla,1638,16,7562,2020-07-25,2020-07-25
Union,385,2,2239,2020-07-25,2020-07-25
Wallowa,18,1,588,2020-07-25,2020-07-25
Wasco,141,3,2991,2020-07-25,2020-07-25
Washington,2457,21,50514,2020-07-25,2020-07-25
Wheeler,0,0,132,2020-07-25,2020-07-25
Yamhill,271,9,8444,2020-07-25,2020-07-25
Total,16492,282,357518,2020-07-25,2020-07-25
Baker,22,0,805,2020-07-26,2020-07-26
Benton,134,6,7757,2020-07-26,2020-07-26
Clackamas,1276,34,35158,2020-07-26,2020-07-26
Clatsop,68,0,3284,2020-07-26,2020-07-26
Columbia,69,0,4012,2020-07-26,2020-07-26
Coos,80,0,3606,2020-07-26,2020-07-26
Crook,32,1,1528,2020-07-26,2020-07-26
Curry,13,0,934,2020-07-26,2020-07-26
Deschutes,460,3,15662,2020-07-26,2020-07-26
Douglas,116,1,7194,2020-07-26,2020-07-26
Gilliam,3,0,144,2020-07-26,2020-07-26
Grant,2,0,475,2020-07-26,2020-07-26
Harney,6,0,517,2020-07-26,2020-07-26
Hood River,150,0,3353,2020-07-26,2020-07-26
Jackson,291,0,17107,2020-07-26,2020-07-26
Jefferson,258,0,2825,2020-07-26,2020-07-26
Josephine,84,1,6060,2020-07-26,2020-07-26
Klamath,181,1,6572,2020-07-26,2020-07-26
Lake,31,0,419,2020-07-26,2020-07-26
Lane,448,3,37566,2020-07-26,2020-07-26
Lincoln,380,8,6407,2020-07-26,2020-07-26
Linn,223,10,9859,2020-07-26,2020-07-26
Malheur,576,8,2802,2020-07-26,2020-07-26
Marion,2413,65,26826,2020-07-26,2020-07-26
Morrow,245,1,1001,2020-07-26,2020-07-26
Multnomah,3921,82,80007,2020-07-26,2020-07-26
Polk,245,12,4235,2020-07-26,2020-07-26
Sherman,8,0,231,2020-07-26,2020-07-26
Tillamook,24,0,1866,2020-07-26,2020-07-26
Umatilla,1678,16,7749,2020-07-26,2020-07-26
Union,385,2,2247,2020-07-26,2020-07-26
Wallowa,18,1,591,2020-07-26,2020-07-26
Wasco,146,3,3025,2020-07-26,2020-07-26
Washington,2495,22,51198,2020-07-26,2020-07-26
Wheeler,0,0,132,2020-07-26,2020-07-26
Yamhill,277,9,8563,2020-07-26,2020-07-26
Total,16758,289,361717,2020-07-26,2020-07-26
