County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,215,3,2609,2020-11-15,2020-11-15
Benton,617,7,20590,2020-11-15,2020-11-15
Clackamas,4590,73,86170,2020-11-15,2020-11-15
Clatsop,303,0,7649,2020-11-15,2020-11-15
Columbia,353,2,9652,2020-11-15,2020-11-15
Coos,338,1,10249,2020-11-15,2020-11-15
Crook,168,5,3683,2020-11-15,2020-11-15
Curry,83,2,2625,2020-11-15,2020-11-15
Deschutes,1645,14,44132,2020-11-15,2020-11-15
Douglas,619,10,17254,2020-11-15,2020-11-15
Gilliam,19,0,404,2020-11-15,2020-11-15
Grant,66,0,1221,2020-11-15,2020-11-15
Harney,65,0,1099,2020-11-15,2020-11-15
Hood River,320,1,6369,2020-11-15,2020-11-15
Jackson,2842,10,46897,2020-11-15,2020-11-15
Jefferson,685,11,6282,2020-11-15,2020-11-15
Josephine,345,4,16512,2020-11-15,2020-11-15
Klamath,525,3,12796,2020-11-15,2020-11-15
Lake,63,0,1190,2020-11-15,2020-11-15
Lane,3259,34,90006,2020-11-15,2020-11-15
Lincoln,544,13,10862,2020-11-15,2020-11-15
Linn,1095,17,23280,2020-11-15,2020-11-15
Malheur,2177,38,6919,2020-11-15,2020-11-15
Marion,7500,124,69027,2020-11-15,2020-11-15
Morrow,594,7,2289,2020-11-15,2020-11-15
Multnomah,12700,195,200176,2020-11-15,2020-11-15
Polk,891,15,13921,2020-11-15,2020-11-15
Sherman,23,0,433,2020-11-15,2020-11-15
Tillamook,100,0,3994,2020-11-15,2020-11-15
Umatilla,3873,47,16840,2020-11-15,2020-11-15
Union,598,2,5769,2020-11-15,2020-11-15
Wallowa,69,2,1378,2020-11-15,2020-11-15
Wasco,416,17,6579,2020-11-15,2020-11-15
Washington,7825,89,127671,2020-11-15,2020-11-15
Wheeler,1,0,202,2020-11-15,2020-11-15
Yamhill,1354,15,24370,2020-11-15,2020-11-15
Total,56880,761,901099,2020-11-15,2020-11-15
Baker,215,3,2608,2020-11-14,2020-11-14
Benton,601,7,20568,2020-11-14,2020-11-14
Clackamas,4501,73,85433,2020-11-14,2020-11-14
Clatsop,300,0,7616,2020-11-14,2020-11-14
Columbia,346,2,9595,2020-11-14,2020-11-14
Coos,334,1,10192,2020-11-14,2020-11-14
Crook,167,5,3660,2020-11-14,2020-11-14
Curry,81,2,2615,2020-11-14,2020-11-14
Deschutes,1633,14,43821,2020-11-14,2020-11-14
Douglas,603,10,17132,2020-11-14,2020-11-14
Gilliam,18,0,404,2020-11-14,2020-11-14
Grant,66,0,1220,2020-11-14,2020-11-14
Harney,60,0,1099,2020-11-14,2020-11-14
Hood River,314,1,6332,2020-11-14,2020-11-14
Jackson,2805,10,46645,2020-11-14,2020-11-14
Jefferson,685,11,6253,2020-11-14,2020-11-14
Josephine,342,4,16463,2020-11-14,2020-11-14
Klamath,523,3,12705,2020-11-14,2020-11-14
Lake,60,0,1180,2020-11-14,2020-11-14
Lane,3206,34,89609,2020-11-14,2020-11-14
Lincoln,542,13,10852,2020-11-14,2020-11-14
Linn,1088,17,23215,2020-11-14,2020-11-14
Malheur,2165,38,6908,2020-11-14,2020-11-14
Marion,7324,124,68594,2020-11-14,2020-11-14
Morrow,594,7,2282,2020-11-14,2020-11-14
Multnomah,12521,195,198592,2020-11-14,2020-11-14
Polk,873,15,13828,2020-11-14,2020-11-14
Sherman,23,0,428,2020-11-14,2020-11-14
Tillamook,100,0,3978,2020-11-14,2020-11-14
Umatilla,3827,45,16788,2020-11-14,2020-11-14
Union,579,2,5740,2020-11-14,2020-11-14
Wallowa,69,2,1377,2020-11-14,2020-11-14
Wasco,410,17,6544,2020-11-14,2020-11-14
Washington,7714,89,126833,2020-11-14,2020-11-14
Wheeler,1,0,202,2020-11-14,2020-11-14
Yamhill,1328,15,24236,2020-11-14,2020-11-14
Total,56018,759,895547,2020-11-14,2020-11-14
