County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,101,2,1864,2020-10-04,2020-10-04
Benton,349,6,14386,2020-10-04,2020-10-04
Clackamas,2542,63,63057,2020-10-04,2020-10-04
Clatsop,225,0,5899,2020-10-04,2020-10-04
Columbia,201,1,7318,2020-10-04,2020-10-04
Coos,176,0,7331,2020-10-04,2020-10-04
Crook,63,1,2660,2020-10-04,2020-10-04
Curry,32,0,1898,2020-10-04,2020-10-04
Deschutes,906,12,31748,2020-10-04,2020-10-04
Douglas,257,4,13332,2020-10-04,2020-10-04
Gilliam,8,0,294,2020-10-04,2020-10-04
Grant,10,0,924,2020-10-04,2020-10-04
Harney,12,0,835,2020-10-04,2020-10-04
Hood River,254,0,5110,2020-10-04,2020-10-04
Jackson,1254,6,35188,2020-10-04,2020-10-04
Jefferson,562,8,5000,2020-10-04,2020-10-04
Josephine,215,2,12447,2020-10-04,2020-10-04
Klamath,302,3,10527,2020-10-04,2020-10-04
Lake,33,0,927,2020-10-04,2020-10-04
Lane,1470,19,67196,2020-10-04,2020-10-04
Lincoln,485,13,8939,2020-10-04,2020-10-04
Linn,568,13,17309,2020-10-04,2020-10-04
Malheur,1691,30,5511,2020-10-04,2020-10-04
Marion,4924,99,50451,2020-10-04,2020-10-04
Morrow,521,6,1834,2020-10-04,2020-10-04
Multnomah,7516,144,147690,2020-10-04,2020-10-04
Polk,553,15,9628,2020-10-04,2020-10-04
Sherman,18,0,346,2020-10-04,2020-10-04
Tillamook,54,0,3161,2020-10-04,2020-10-04
Umatilla,3095,42,13562,2020-10-04,2020-10-04
Union,446,2,4529,2020-10-04,2020-10-04
Wallowa,33,1,1028,2020-10-04,2020-10-04
Wasco,305,5,5226,2020-10-04,2020-10-04
Washington,4779,61,95602,2020-10-04,2020-10-04
Wheeler,0,0,164,2020-10-04,2020-10-04
Yamhill,810,14,17745,2020-10-04,2020-10-04
Total,34770,572,670666,2020-10-04,2020-10-04
Baker,101,2,1957,2020-10-03,2020-10-03
Benton,348,6,14709,2020-10-03,2020-10-03
Clackamas,2526,63,65395,2020-10-03,2020-10-03
Clatsop,225,0,6080,2020-10-03,2020-10-03
Columbia,198,1,7495,2020-10-03,2020-10-03
Coos,173,0,7418,2020-10-03,2020-10-03
Crook,63,1,2714,2020-10-03,2020-10-03
Curry,32,0,1914,2020-10-03,2020-10-03
Deschutes,898,12,32339,2020-10-03,2020-10-03
Douglas,253,4,13494,2020-10-03,2020-10-03
Gilliam,8,0,290,2020-10-03,2020-10-03
Grant,10,0,923,2020-10-03,2020-10-03
Harney,12,0,833,2020-10-03,2020-10-03
Hood River,254,0,5108,2020-10-03,2020-10-03
Jackson,1245,6,35046,2020-10-03,2020-10-03
Jefferson,558,8,4961,2020-10-03,2020-10-03
Josephine,215,2,12373,2020-10-03,2020-10-03
Klamath,300,3,10482,2020-10-03,2020-10-03
Lake,33,0,927,2020-10-03,2020-10-03
Lane,1440,19,66824,2020-10-03,2020-10-03
Lincoln,484,13,8940,2020-10-03,2020-10-03
Linn,562,13,17287,2020-10-03,2020-10-03
Malheur,1677,30,5455,2020-10-03,2020-10-03
Marion,4887,98,49952,2020-10-03,2020-10-03
Morrow,519,6,1833,2020-10-03,2020-10-03
Multnomah,7455,144,147126,2020-10-03,2020-10-03
Polk,549,15,9584,2020-10-03,2020-10-03
Sherman,18,0,345,2020-10-03,2020-10-03
Tillamook,54,0,3154,2020-10-03,2020-10-03
Umatilla,3084,42,13570,2020-10-03,2020-10-03
Union,446,2,4535,2020-10-03,2020-10-03
Wallowa,33,1,1025,2020-10-03,2020-10-03
Wasco,305,5,5211,2020-10-03,2020-10-03
Washington,4746,61,94974,2020-10-03,2020-10-03
Wheeler,0,0,164,2020-10-03,2020-10-03
Yamhill,800,14,17648,2020-10-03,2020-10-03
Total,34511,571,667392,2020-10-03,2020-10-03
