County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,272,3,2802,2020-11-26,2020-11-26
Benton,757,7,22306,2020-11-26,2020-11-26
Clackamas,5840,77,91914,2020-11-26,2020-11-26
Clatsop,351,0,8173,2020-11-26,2020-11-26
Columbia,466,3,10261,2020-11-26,2020-11-26
Coos,418,2,10921,2020-11-26,2020-11-26
Crook,211,6,3970,2020-11-26,2020-11-26
Curry,129,2,2731,2020-11-26,2020-11-26
Deschutes,2138,14,47509,2020-11-26,2020-11-26
Douglas,900,17,18425,2020-11-26,2020-11-26
Gilliam,21,0,431,2020-11-26,2020-11-26
Grant,133,1,1427,2020-11-26,2020-11-26
Harney,93,1,1176,2020-11-26,2020-11-26
Hood River,393,1,6799,2020-11-26,2020-11-26
Jackson,3643,28,49905,2020-11-26,2020-11-26
Jefferson,804,11,6655,2020-11-26,2020-11-26
Josephine,507,4,17585,2020-11-26,2020-11-26
Klamath,760,4,13708,2020-11-26,2020-11-26
Lake,117,1,1264,2020-11-26,2020-11-26
Lane,4139,41,95068,2020-11-26,2020-11-26
Lincoln,610,15,11673,2020-11-26,2020-11-26
Linn,1357,20,24478,2020-11-26,2020-11-26
Malheur,2369,42,7299,2020-11-26,2020-11-26
Marion,8849,137,73818,2020-11-26,2020-11-26
Morrow,642,7,2453,2020-11-26,2020-11-26
Multnomah,15860,232,213490,2020-11-26,2020-11-26
Polk,1168,16,15050,2020-11-26,2020-11-26
Sherman,23,0,453,2020-11-26,2020-11-26
Tillamook,121,0,4213,2020-11-26,2020-11-26
Umatilla,4256,49,17859,2020-11-26,2020-11-26
Union,749,4,6117,2020-11-26,2020-11-26
Wallowa,71,3,1448,2020-11-26,2020-11-26
Wasco,512,19,6983,2020-11-26,2020-11-26
Washington,9678,99,135900,2020-11-26,2020-11-26
Wheeler,3,0,253,2020-11-26,2020-11-26
Yamhill,1646,16,26140,2020-11-26,2020-11-26
Total,70006,882,960657,2020-11-26,2020-11-26
