County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,12,0,635,2020-07-12,2020-07-12
Benton,114,6,6718,2020-07-12,2020-07-12
Clackamas,987,27,27639,2020-07-12,2020-07-12
Clatsop,55,0,2764,2020-07-12,2020-07-12
Columbia,48,0,3274,2020-07-12,2020-07-12
Coos,53,0,3032,2020-07-12,2020-07-12
Crook,18,1,1200,2020-07-12,2020-07-12
Curry,9,0,789,2020-07-12,2020-07-12
Deschutes,268,0,12596,2020-07-12,2020-07-12
Douglas,64,0,5836,2020-07-12,2020-07-12
Gilliam,1,0,119,2020-07-12,2020-07-12
Grant,1,0,406,2020-07-12,2020-07-12
Harney,2,0,453,2020-07-12,2020-07-12
Hood River,105,0,2710,2020-07-12,2020-07-12
Jackson,179,0,14040,2020-07-12,2020-07-12
Jefferson,168,0,2311,2020-07-12,2020-07-12
Josephine,57,1,4979,2020-07-12,2020-07-12
Klamath,137,1,5568,2020-07-12,2020-07-12
Lake,24,0,322,2020-07-12,2020-07-12
Lane,305,3,28126,2020-07-12,2020-07-12
Lincoln,361,5,5111,2020-07-12,2020-07-12
Linn,181,10,7900,2020-07-12,2020-07-12
Malheur,373,2,2140,2020-07-12,2020-07-12
Marion,1859,53,20404,2020-07-12,2020-07-12
Morrow,145,1,670,2020-07-12,2020-07-12
Multnomah,2888,72,62752,2020-07-12,2020-07-12
Polk,177,12,3300,2020-07-12,2020-07-12
Sherman,5,0,188,2020-07-12,2020-07-12
Tillamook,16,0,1569,2020-07-12,2020-07-12
Umatilla,1013,7,5253,2020-07-12,2020-07-12
Union,369,2,1834,2020-07-12,2020-07-12
Wallowa,14,0,493,2020-07-12,2020-07-12
Wasco,117,1,2518,2020-07-12,2020-07-12
Washington,1847,21,39550,2020-07-12,2020-07-12
Wheeler,0,0,124,2020-07-12,2020-07-12
Yamhill,198,9,6679,2020-07-12,2020-07-12
Total,12170,234,284002,2020-07-12,2020-07-12
Baker,11,0,630,2020-07-11,2020-07-11
Benton,112,6,6696,2020-07-11,2020-07-11
Clackamas,955,27,27247,2020-07-11,2020-07-11
Clatsop,55,0,2737,2020-07-11,2020-07-11
Columbia,48,0,3241,2020-07-11,2020-07-11
Coos,54,0,2997,2020-07-11,2020-07-11
Crook,18,1,1179,2020-07-11,2020-07-11
Curry,9,0,782,2020-07-11,2020-07-11
Deschutes,252,0,12400,2020-07-11,2020-07-11
Douglas,60,0,5742,2020-07-11,2020-07-11
Gilliam,1,0,118,2020-07-11,2020-07-11
Grant,1,0,399,2020-07-11,2020-07-11
Harney,2,0,450,2020-07-11,2020-07-11
Hood River,104,0,2687,2020-07-11,2020-07-11
Jackson,178,0,13882,2020-07-11,2020-07-11
Jefferson,163,0,2284,2020-07-11,2020-07-11
Josephine,57,1,4934,2020-07-11,2020-07-11
Klamath,135,1,5562,2020-07-11,2020-07-11
Lake,24,0,324,2020-07-11,2020-07-11
Lane,294,3,27819,2020-07-11,2020-07-11
Lincoln,361,5,5105,2020-07-11,2020-07-11
Linn,174,10,7881,2020-07-11,2020-07-11
Malheur,302,1,2078,2020-07-11,2020-07-11
Marion,1831,53,20029,2020-07-11,2020-07-11
Morrow,138,1,660,2020-07-11,2020-07-11
Multnomah,2824,72,61803,2020-07-11,2020-07-11
Polk,173,12,3272,2020-07-11,2020-07-11
Sherman,4,0,184,2020-07-11,2020-07-11
Tillamook,16,0,1558,2020-07-11,2020-07-11
Umatilla,987,7,5184,2020-07-11,2020-07-11
Union,369,2,1832,2020-07-11,2020-07-11
Wallowa,14,0,486,2020-07-11,2020-07-11
Wasco,116,1,2488,2020-07-11,2020-07-11
Washington,1815,20,38976,2020-07-11,2020-07-11
Wheeler,0,0,124,2020-07-11,2020-07-11
Yamhill,194,9,6562,2020-07-11,2020-07-11
Total,11851,232,280332,2020-07-11,2020-07-11
