County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,181,3,2499,2020-11-08,2020-11-08
Benton,516,6,19853,2020-11-08,2020-11-08
Clackamas,3925,71,81699,2020-11-08,2020-11-08
Clatsop,287,0,7307,2020-11-08,2020-11-08
Columbia,310,2,9268,2020-11-08,2020-11-08
Coos,290,1,9670,2020-11-08,2020-11-08
Crook,139,5,3466,2020-11-08,2020-11-08
Curry,74,2,2515,2020-11-08,2020-11-08
Deschutes,1459,13,41826,2020-11-08,2020-11-08
Douglas,472,10,16414,2020-11-08,2020-11-08
Gilliam,17,0,391,2020-11-08,2020-11-08
Grant,53,0,1165,2020-11-08,2020-11-08
Harney,47,0,1051,2020-11-08,2020-11-08
Hood River,303,1,6163,2020-11-08,2020-11-08
Jackson,2339,8,44736,2020-11-08,2020-11-08
Jefferson,634,11,6059,2020-11-08,2020-11-08
Josephine,315,4,15897,2020-11-08,2020-11-08
Klamath,471,3,12372,2020-11-08,2020-11-08
Lake,49,0,1145,2020-11-08,2020-11-08
Lane,2858,29,86325,2020-11-08,2020-11-08
Lincoln,526,13,10252,2020-11-08,2020-11-08
Linn,985,17,22486,2020-11-08,2020-11-08
Malheur,2080,38,6701,2020-11-08,2020-11-08
Marion,6796,117,65599,2020-11-08,2020-11-08
Morrow,579,7,2195,2020-11-08,2020-11-08
Multnomah,11156,185,190052,2020-11-08,2020-11-08
Polk,783,15,13104,2020-11-08,2020-11-08
Sherman,23,0,419,2020-11-08,2020-11-08
Tillamook,87,0,3860,2020-11-08,2020-11-08
Umatilla,3642,45,16300,2020-11-08,2020-11-08
Union,540,2,5541,2020-11-08,2020-11-08
Wallowa,64,2,1324,2020-11-08,2020-11-08
Wasco,380,17,6309,2020-11-08,2020-11-08
Washington,6897,88,121676,2020-11-08,2020-11-08
Wheeler,1,0,192,2020-11-08,2020-11-08
Yamhill,1170,15,23022,2020-11-08,2020-11-08
Total,50448,730,858853,2020-11-08,2020-11-08
Baker,181,3,2460,2020-11-07,2020-11-07
Benton,510,6,19769,2020-11-07,2020-11-07
Clackamas,3796,71,81197,2020-11-07,2020-11-07
Clatsop,282,0,7260,2020-11-07,2020-11-07
Columbia,304,2,9219,2020-11-07,2020-11-07
Coos,286,1,9611,2020-11-07,2020-11-07
Crook,139,5,3436,2020-11-07,2020-11-07
Curry,72,2,2504,2020-11-07,2020-11-07
Deschutes,1440,13,41490,2020-11-07,2020-11-07
Douglas,457,10,16349,2020-11-07,2020-11-07
Gilliam,17,0,386,2020-11-07,2020-11-07
Grant,49,0,1152,2020-11-07,2020-11-07
Harney,46,0,1051,2020-11-07,2020-11-07
Hood River,297,1,6120,2020-11-07,2020-11-07
Jackson,2274,8,44538,2020-11-07,2020-11-07
Jefferson,633,11,6031,2020-11-07,2020-11-07
Josephine,305,4,15723,2020-11-07,2020-11-07
Klamath,465,3,12316,2020-11-07,2020-11-07
Lake,49,0,1144,2020-11-07,2020-11-07
Lane,2804,29,85938,2020-11-07,2020-11-07
Lincoln,526,13,10199,2020-11-07,2020-11-07
Linn,980,17,22329,2020-11-07,2020-11-07
Malheur,2067,38,6640,2020-11-07,2020-11-07
Marion,6685,117,65155,2020-11-07,2020-11-07
Morrow,571,7,2186,2020-11-07,2020-11-07
Multnomah,10942,185,188779,2020-11-07,2020-11-07
Polk,766,15,13005,2020-11-07,2020-11-07
Sherman,23,0,418,2020-11-07,2020-11-07
Tillamook,86,0,3834,2020-11-07,2020-11-07
Umatilla,3618,45,16229,2020-11-07,2020-11-07
Union,531,2,5522,2020-11-07,2020-11-07
Wallowa,63,2,1318,2020-11-07,2020-11-07
Wasco,379,17,6274,2020-11-07,2020-11-07
Washington,6795,87,120858,2020-11-07,2020-11-07
Wheeler,1,0,187,2020-11-07,2020-11-07
Yamhill,1148,15,22885,2020-11-07,2020-11-07
Total,49587,729,853512,2020-11-07,2020-11-07
