County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,1,0,392,2020-06-21,2020-06-21
Benton,67,5,5629,2020-06-21,2020-06-21
Clackamas,592,23,19142,2020-06-21,2020-06-21
Clatsop,46,0,2087,2020-06-21,2020-06-21
Columbia,26,0,2297,2020-06-21,2020-06-21
Coos,36,0,2304,2020-06-21,2020-06-21
Crook,9,0,889,2020-06-21,2020-06-21
Curry,7,0,612,2020-06-21,2020-06-21
Deschutes,143,0,9094,2020-06-21,2020-06-21
Douglas,33,0,4262,2020-06-21,2020-06-21
Gilliam,0,0,83,2020-06-21,2020-06-21
Grant,1,0,161,2020-06-21,2020-06-21
Harney,1,0,352,2020-06-21,2020-06-21
Hood River,87,0,2107,2020-06-21,2020-06-21
Jackson,90,0,10180,2020-06-21,2020-06-21
Jefferson,78,0,1641,2020-06-21,2020-06-21
Josephine,26,1,3501,2020-06-21,2020-06-21
Klamath,88,0,4453,2020-06-21,2020-06-21
Lake,6,0,213,2020-06-21,2020-06-21
Lane,102,3,18830,2020-06-21,2020-06-21
Lincoln,286,0,3608,2020-06-21,2020-06-21
Linn,129,9,6090,2020-06-21,2020-06-21
Malheur,51,1,1062,2020-06-21,2020-06-21
Marion,1301,34,14123,2020-06-21,2020-06-21
Morrow,31,1,316,2020-06-21,2020-06-21
Multnomah,1832,68,41563,2020-06-21,2020-06-21
Polk,130,12,2540,2020-06-21,2020-06-21
Sherman,1,0,135,2020-06-21,2020-06-21
Tillamook,6,0,1056,2020-06-21,2020-06-21
Umatilla,268,4,2619,2020-06-21,2020-06-21
Union,258,0,1239,2020-06-21,2020-06-21
Wallowa,8,0,357,2020-06-21,2020-06-21
Wasco,47,1,1942,2020-06-21,2020-06-21
Washington,1051,20,26269,2020-06-21,2020-06-21
Wheeler,0,0,110,2020-06-21,2020-06-21
Yamhill,99,8,4416,2020-06-21,2020-06-21
Total,6937,190,195674,2020-06-21,2020-06-21
Baker,1,0,385,2020-06-20,2020-06-20
Benton,68,5,5589,2020-06-20,2020-06-20
Clackamas,580,22,18850,2020-06-20,2020-06-20
Clatsop,46,0,2049,2020-06-20,2020-06-20
Columbia,26,0,2257,2020-06-20,2020-06-20
Coos,36,0,2246,2020-06-20,2020-06-20
Crook,9,0,869,2020-06-20,2020-06-20
Curry,7,0,605,2020-06-20,2020-06-20
Deschutes,142,0,8942,2020-06-20,2020-06-20
Douglas,33,0,4204,2020-06-20,2020-06-20
Gilliam,0,0,82,2020-06-20,2020-06-20
Grant,1,0,159,2020-06-20,2020-06-20
Harney,1,0,346,2020-06-20,2020-06-20
Hood River,87,0,2081,2020-06-20,2020-06-20
Jackson,87,0,9991,2020-06-20,2020-06-20
Jefferson,78,0,1630,2020-06-20,2020-06-20
Josephine,26,1,3427,2020-06-20,2020-06-20
Klamath,84,0,4345,2020-06-20,2020-06-20
Lake,6,0,210,2020-06-20,2020-06-20
Lane,95,3,18469,2020-06-20,2020-06-20
Lincoln,284,0,3555,2020-06-20,2020-06-20
Linn,128,9,6029,2020-06-20,2020-06-20
Malheur,49,1,1033,2020-06-20,2020-06-20
Marion,1294,34,13959,2020-06-20,2020-06-20
Morrow,28,1,299,2020-06-20,2020-06-20
Multnomah,1748,68,40832,2020-06-20,2020-06-20
Polk,131,12,2513,2020-06-20,2020-06-20
Sherman,1,0,135,2020-06-20,2020-06-20
Tillamook,6,0,1048,2020-06-20,2020-06-20
Umatilla,234,4,2533,2020-06-20,2020-06-20
Union,255,0,1033,2020-06-20,2020-06-20
Wallowa,7,0,352,2020-06-20,2020-06-20
Wasco,46,1,1914,2020-06-20,2020-06-20
Washington,1029,20,25750,2020-06-20,2020-06-20
Wheeler,0,0,110,2020-06-20,2020-06-20
Yamhill,97,8,4355,2020-06-20,2020-06-20
Total,6750,189,192186,2020-06-20,2020-06-20
