County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,53,0,1170,2020-08-16,2020-08-16
Benton,186,6,9371,2020-08-16,2020-08-16
Clackamas,1689,50,45213,2020-08-16,2020-08-16
Clatsop,91,0,4095,2020-08-16,2020-08-16
Columbia,110,1,5082,2020-08-16,2020-08-16
Coos,93,0,4388,2020-08-16,2020-08-16
Crook,52,1,1953,2020-08-16,2020-08-16
Curry,19,0,1150,2020-08-16,2020-08-16
Deschutes,639,11,20611,2020-08-16,2020-08-16
Douglas,160,1,9051,2020-08-16,2020-08-16
Gilliam,4,0,208,2020-08-16,2020-08-16
Grant,4,0,601,2020-08-16,2020-08-16
Harney,11,0,622,2020-08-16,2020-08-16
Hood River,218,0,4099,2020-08-16,2020-08-16
Jackson,559,2,21468,2020-08-16,2020-08-16
Jefferson,411,5,3760,2020-08-16,2020-08-16
Josephine,139,2,7615,2020-08-16,2020-08-16
Klamath,210,2,7943,2020-08-16,2020-08-16
Lake,32,0,586,2020-08-16,2020-08-16
Lane,625,4,47173,2020-08-16,2020-08-16
Lincoln,438,9,7185,2020-08-16,2020-08-16
Linn,333,11,12025,2020-08-16,2020-08-16
Malheur,905,15,3685,2020-08-16,2020-08-16
Marion,3204,73,34830,2020-08-16,2020-08-16
Morrow,407,3,1343,2020-08-16,2020-08-16
Multnomah,5330,102,104501,2020-08-16,2020-08-16
Polk,364,12,6032,2020-08-16,2020-08-16
Sherman,16,0,284,2020-08-16,2020-08-16
Tillamook,35,0,2302,2020-08-16,2020-08-16
Umatilla,2450,32,10223,2020-08-16,2020-08-16
Union,398,2,2731,2020-08-16,2020-08-16
Wallowa,21,1,742,2020-08-16,2020-08-16
Wasco,202,3,4008,2020-08-16,2020-08-16
Washington,3337,27,67314,2020-08-16,2020-08-16
Wheeler,0,0,143,2020-08-16,2020-08-16
Yamhill,517,13,12028,2020-08-16,2020-08-16
Total,23262,388,465535,2020-08-16,2020-08-16
Baker,53,0,1157,2020-08-15,2020-08-15
Benton,186,6,9345,2020-08-15,2020-08-15
Clackamas,1664,49,44864,2020-08-15,2020-08-15
Clatsop,90,0,4066,2020-08-15,2020-08-15
Columbia,106,1,5054,2020-08-15,2020-08-15
Coos,93,0,4338,2020-08-15,2020-08-15
Crook,52,1,1943,2020-08-15,2020-08-15
Curry,19,0,1129,2020-08-15,2020-08-15
Deschutes,637,11,20415,2020-08-15,2020-08-15
Douglas,160,1,9014,2020-08-15,2020-08-15
Gilliam,4,0,208,2020-08-15,2020-08-15
Grant,4,0,600,2020-08-15,2020-08-15
Harney,11,0,621,2020-08-15,2020-08-15
Hood River,216,0,4068,2020-08-15,2020-08-15
Jackson,542,2,21304,2020-08-15,2020-08-15
Jefferson,408,5,3733,2020-08-15,2020-08-15
Josephine,138,2,7534,2020-08-15,2020-08-15
Klamath,208,2,7889,2020-08-15,2020-08-15
Lake,32,0,577,2020-08-15,2020-08-15
Lane,621,4,46910,2020-08-15,2020-08-15
Lincoln,437,9,7171,2020-08-15,2020-08-15
Linn,328,11,11992,2020-08-15,2020-08-15
Malheur,894,15,3671,2020-08-15,2020-08-15
Marion,3165,73,34449,2020-08-15,2020-08-15
Morrow,400,3,1331,2020-08-15,2020-08-15
Multnomah,5264,101,103695,2020-08-15,2020-08-15
Polk,356,12,5958,2020-08-15,2020-08-15
Sherman,16,0,279,2020-08-15,2020-08-15
Tillamook,35,0,2284,2020-08-15,2020-08-15
Umatilla,2435,32,10140,2020-08-15,2020-08-15
Union,398,2,2718,2020-08-15,2020-08-15
Wallowa,21,1,741,2020-08-15,2020-08-15
Wasco,201,3,3971,2020-08-15,2020-08-15
Washington,3310,27,66611,2020-08-15,2020-08-15
Wheeler,0,0,142,2020-08-15,2020-08-15
Yamhill,514,13,11939,2020-08-15,2020-08-15
Total,23018,386,461861,2020-08-15,2020-08-15
