County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,120,3,2190,2020-10-25,2020-10-25
Benton,441,6,17922,2020-10-25,2020-10-25
Clackamas,3097,65,74155,2020-10-25,2020-10-25
Clatsop,242,0,6657,2020-10-25,2020-10-25
Columbia,259,1,8469,2020-10-25,2020-10-25
Coos,238,0,8675,2020-10-25,2020-10-25
Crook,107,2,3059,2020-10-25,2020-10-25
Curry,57,1,2325,2020-10-25,2020-10-25
Deschutes,1123,13,37810,2020-10-25,2020-10-25
Douglas,349,5,15204,2020-10-25,2020-10-25
Gilliam,11,0,358,2020-10-25,2020-10-25
Grant,11,0,1030,2020-10-25,2020-10-25
Harney,23,0,935,2020-10-25,2020-10-25
Hood River,277,1,5807,2020-10-25,2020-10-25
Jackson,1669,6,40772,2020-10-25,2020-10-25
Jefferson,604,9,5564,2020-10-25,2020-10-25
Josephine,267,3,14366,2020-10-25,2020-10-25
Klamath,410,3,11716,2020-10-25,2020-10-25
Lake,35,0,1051,2020-10-25,2020-10-25
Lane,2354,27,80284,2020-10-25,2020-10-25
Lincoln,517,13,9765,2020-10-25,2020-10-25
Linn,803,15,20497,2020-10-25,2020-10-25
Malheur,1915,38,6241,2020-10-25,2020-10-25
Marion,5819,108,58845,2020-10-25,2020-10-25
Morrow,545,6,2029,2020-10-25,2020-10-25
Multnomah,9137,160,172797,2020-10-25,2020-10-25
Polk,650,15,11628,2020-10-25,2020-10-25
Sherman,18,0,385,2020-10-25,2020-10-25
Tillamook,70,0,3575,2020-10-25,2020-10-25
Umatilla,3349,44,15271,2020-10-25,2020-10-25
Union,466,2,5082,2020-10-25,2020-10-25
Wallowa,44,2,1194,2020-10-25,2020-10-25
Wasco,347,15,5874,2020-10-25,2020-10-25
Washington,5739,75,110514,2020-10-25,2020-10-25
Wheeler,1,0,184,2020-10-25,2020-10-25
Yamhill,987,15,20919,2020-10-25,2020-10-25
Total,42101,653,783149,2020-10-25,2020-10-25
Baker,114,3,2176,2020-10-24,2020-10-24
Benton,436,6,17873,2020-10-24,2020-10-24
Clackamas,3081,65,73862,2020-10-24,2020-10-24
Clatsop,241,0,6636,2020-10-24,2020-10-24
Columbia,256,1,8428,2020-10-24,2020-10-24
Coos,236,0,8614,2020-10-24,2020-10-24
Crook,103,2,3033,2020-10-24,2020-10-24
Curry,57,1,2313,2020-10-24,2020-10-24
Deschutes,1110,13,37522,2020-10-24,2020-10-24
Douglas,345,5,15127,2020-10-24,2020-10-24
Gilliam,11,0,358,2020-10-24,2020-10-24
Grant,11,0,1019,2020-10-24,2020-10-24
Harney,23,0,926,2020-10-24,2020-10-24
Hood River,277,1,5790,2020-10-24,2020-10-24
Jackson,1650,6,40651,2020-10-24,2020-10-24
Jefferson,603,9,5540,2020-10-24,2020-10-24
Josephine,263,3,14322,2020-10-24,2020-10-24
Klamath,408,3,11688,2020-10-24,2020-10-24
Lake,34,0,1051,2020-10-24,2020-10-24
Lane,2326,27,79928,2020-10-24,2020-10-24
Lincoln,515,13,9725,2020-10-24,2020-10-24
Linn,798,15,20339,2020-10-24,2020-10-24
Malheur,1909,38,6215,2020-10-24,2020-10-24
Marion,5733,108,58403,2020-10-24,2020-10-24
Morrow,543,6,2026,2020-10-24,2020-10-24
Multnomah,9055,160,172097,2020-10-24,2020-10-24
Polk,648,15,11516,2020-10-24,2020-10-24
Sherman,18,0,384,2020-10-24,2020-10-24
Tillamook,70,0,3560,2020-10-24,2020-10-24
Umatilla,3344,44,15223,2020-10-24,2020-10-24
Union,465,2,5073,2020-10-24,2020-10-24
Wallowa,42,2,1192,2020-10-24,2020-10-24
Wasco,347,15,5834,2020-10-24,2020-10-24
Washington,5681,75,109971,2020-10-24,2020-10-24
Wheeler,1,0,183,2020-10-24,2020-10-24
Yamhill,985,15,20805,2020-10-24,2020-10-24
Total,41739,653,779403,2020-10-24,2020-10-24
