County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,4,0,512,2020-07-03,2020-07-03
Benton,91,5,6241,2020-07-03,2020-07-03
Clackamas,795,24,23851,2020-07-03,2020-07-03
Clatsop,49,0,2462,2020-07-03,2020-07-03
Columbia,35,0,2824,2020-07-03,2020-07-03
Coos,42,0,2745,2020-07-03,2020-07-03
Crook,12,0,1078,2020-07-03,2020-07-03
Curry,8,0,722,2020-07-03,2020-07-03
Deschutes,201,0,10994,2020-07-03,2020-07-03
Douglas,45,0,5121,2020-07-03,2020-07-03
Gilliam,0,0,97,2020-07-03,2020-07-03
Grant,1,0,194,2020-07-03,2020-07-03
Harney,1,0,415,2020-07-03,2020-07-03
Hood River,88,0,2379,2020-07-03,2020-07-03
Jackson,140,0,12509,2020-07-03,2020-07-03
Jefferson,131,0,2020,2020-07-03,2020-07-03
Josephine,44,1,4319,2020-07-03,2020-07-03
Klamath,125,1,5081,2020-07-03,2020-07-03
Lake,20,0,251,2020-07-03,2020-07-03
Lane,196,3,24379,2020-07-03,2020-07-03
Lincoln,345,2,4734,2020-07-03,2020-07-03
Linn,156,9,6979,2020-07-03,2020-07-03
Malheur,160,1,1698,2020-07-03,2020-07-03
Marion,1595,47,17381,2020-07-03,2020-07-03
Morrow,82,1,520,2020-07-03,2020-07-03
Multnomah,2361,69,53268,2020-07-03,2020-07-03
Polk,154,12,2946,2020-07-03,2020-07-03
Sherman,2,0,149,2020-07-03,2020-07-03
Tillamook,13,0,1359,2020-07-03,2020-07-03
Umatilla,667,4,4071,2020-07-03,2020-07-03
Union,355,1,1712,2020-07-03,2020-07-03
Wallowa,10,0,436,2020-07-03,2020-07-03
Wasco,85,1,2253,2020-07-03,2020-07-03
Washington,1491,20,33807,2020-07-03,2020-07-03
Wheeler,0,0,122,2020-07-03,2020-07-03
Yamhill,132,8,5467,2020-07-03,2020-07-03
Total,9636,209,245096,2020-07-03,2020-07-03
Baker,5,0,PENDING,2020-07-04,2020-07-04
Benton,93,5,PENDING,2020-07-04,2020-07-04
Clackamas,821,25,PENDING,2020-07-04,2020-07-04
Clatsop,51,0,PENDING,2020-07-04,2020-07-04
Columbia,36,0,PENDING,2020-07-04,2020-07-04
Coos,42,0,PENDING,2020-07-04,2020-07-04
Crook,12,0,PENDING,2020-07-04,2020-07-04
Curry,8,0,PENDING,2020-07-04,2020-07-04
Deschutes,211,0,PENDING,2020-07-04,2020-07-04
Douglas,46,0,PENDING,2020-07-04,2020-07-04
Gilliam,1,0,PENDING,2020-07-04,2020-07-04
Grant,1,0,PENDING,2020-07-04,2020-07-04
Harney,1,0,PENDING,2020-07-04,2020-07-04
Hood River,88,0,PENDING,2020-07-04,2020-07-04
Jackson,147,0,PENDING,2020-07-04,2020-07-04
Jefferson,132,0,PENDING,2020-07-04,2020-07-04
Josephine,52,1,PENDING,2020-07-04,2020-07-04
Klamath,130,1,PENDING,2020-07-04,2020-07-04
Lake,21,0,PENDING,2020-07-04,2020-07-04
Lane,208,3,PENDING,2020-07-04,2020-07-04
Lincoln,346,3,PENDING,2020-07-04,2020-07-04
Linn,157,9,PENDING,2020-07-04,2020-07-04
Malheur,191,1,PENDING,2020-07-04,2020-07-04
Marion,1610,47,PENDING,2020-07-04,2020-07-04
Morrow,93,1,PENDING,2020-07-04,2020-07-04
Multnomah,2417,69,PENDING,2020-07-04,2020-07-04
Polk,159,12,PENDING,2020-07-04,2020-07-04
Sherman,2,0,PENDING,2020-07-04,2020-07-04
Tillamook,14,0,PENDING,2020-07-04,2020-07-04
Umatilla,716,6,PENDING,2020-07-04,2020-07-04
Union,355,1,PENDING,2020-07-04,2020-07-04
Wallowa,10,0,PENDING,2020-07-04,2020-07-04
Wasco,88,1,PENDING,2020-07-04,2020-07-04
Washington,1534,20,PENDING,2020-07-04,2020-07-04
Wheeler,0,0,PENDING,2020-07-04,2020-07-04
Yamhill,132,8,PENDING,2020-07-04,2020-07-04
Total,9930,213,PENDING,2020-07-04,2020-07-04
Baker,5,0,541,2020-07-05,2020-07-05
Benton,94,5,6242,2020-07-05,2020-07-05
Clackamas,845,25,24752,2020-07-05,2020-07-05
Clatsop,51,0,2516,2020-07-05,2020-07-05
Columbia,39,0,2933,2020-07-05,2020-07-05
Coos,42,0,2847,2020-07-05,2020-07-05
Crook,13,0,1097,2020-07-05,2020-07-05
Curry,8,0,734,2020-07-05,2020-07-05
Deschutes,219,0,11393,2020-07-05,2020-07-05
Douglas,50,0,5293,2020-07-05,2020-07-05
Gilliam,1,0,106,2020-07-05,2020-07-05
Grant,1,0,199,2020-07-05,2020-07-05
Harney,1,0,418,2020-07-05,2020-07-05
Hood River,93,0,2453,2020-07-05,2020-07-05
Jackson,149,0,12842,2020-07-05,2020-07-05
Jefferson,133,0,2075,2020-07-05,2020-07-05
Josephine,55,1,4551,2020-07-05,2020-07-05
Klamath,130,1,5255,2020-07-05,2020-07-05
Lake,21,0,260,2020-07-05,2020-07-05
Lane,218,3,25057,2020-07-05,2020-07-05
Lincoln,346,4,4747,2020-07-05,2020-07-05
Linn,157,9,7038,2020-07-05,2020-07-05
Malheur,206,1,1815,2020-07-05,2020-07-05
Marion,1648,48,18053,2020-07-05,2020-07-05
Morrow,102,1,564,2020-07-05,2020-07-05
Multnomah,2488,69,55510,2020-07-05,2020-07-05
Polk,159,12,3029,2020-07-05,2020-07-05
Sherman,3,0,152,2020-07-05,2020-07-05
Tillamook,14,0,1426,2020-07-05,2020-07-05
Umatilla,757,6,4489,2020-07-05,2020-07-05
Union,356,1,1716,2020-07-05,2020-07-05
Wallowa,10,0,450,2020-07-05,2020-07-05
Wasco,91,1,2298,2020-07-05,2020-07-05
Washington,1586,20,35183,2020-07-05,2020-07-05
Wheeler,0,0,122,2020-07-05,2020-07-05
Yamhill,139,8,5815,2020-07-05,2020-07-05
Total,10230,215,253971,2020-07-05,2020-07-05
