County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,70,2,1355,2020-08-29,2020-08-29
Benton,208,6,10388,2020-08-29,2020-08-29
Clackamas,1923,56,50369,2020-08-29,2020-08-29
Clatsop,95,0,4749,2020-08-29,2020-08-29
Columbia,128,1,5787,2020-08-29,2020-08-29
Coos,112,0,5298,2020-08-29,2020-08-29
Crook,54,1,2224,2020-08-29,2020-08-29
Curry,20,0,1292,2020-08-29,2020-08-29
Deschutes,687,10,23784,2020-08-29,2020-08-29
Douglas,177,2,10106,2020-08-29,2020-08-29
Gilliam,4,0,243,2020-08-29,2020-08-29
Grant,8,0,688,2020-08-29,2020-08-29
Harney,12,0,687,2020-08-29,2020-08-29
Hood River,224,0,4393,2020-08-29,2020-08-29
Jackson,793,2,23655,2020-08-29,2020-08-29
Jefferson,457,7,4161,2020-08-29,2020-08-29
Josephine,154,2,8798,2020-08-29,2020-08-29
Klamath,235,2,8748,2020-08-29,2020-08-29
Lake,30,0,673,2020-08-29,2020-08-29
Lane,693,6,52279,2020-08-29,2020-08-29
Lincoln,464,13,7656,2020-08-29,2020-08-29
Linn,380,12,13559,2020-08-29,2020-08-29
Malheur,1148,19,4118,2020-08-29,2020-08-29
Marion,3746,79,39246,2020-08-29,2020-08-29
Morrow,431,3,1494,2020-08-29,2020-08-29
Multnomah,5942,118,116763,2020-08-29,2020-08-29
Polk,411,14,7099,2020-08-29,2020-08-29
Sherman,16,0,303,2020-08-29,2020-08-29
Tillamook,38,0,2601,2020-08-29,2020-08-29
Umatilla,2634,37,11508,2020-08-29,2020-08-29
Union,418,2,2932,2020-08-29,2020-08-29
Wallowa,22,1,822,2020-08-29,2020-08-29
Wasco,206,3,4276,2020-08-29,2020-08-29
Washington,3727,42,76095,2020-08-29,2020-08-29
Wheeler,0,0,152,2020-08-29,2020-08-29
Yamhill,626,14,14256,2020-08-29,2020-08-29
Total,26293,454,522557,2020-08-29,2020-08-29
Baker,70,2,1359,2020-08-30,2020-08-30
Benton,213,6,10458,2020-08-30,2020-08-30
Clackamas,1939,56,50712,2020-08-30,2020-08-30
Clatsop,95,0,4772,2020-08-30,2020-08-30
Columbia,130,1,5817,2020-08-30,2020-08-30
Coos,115,0,5373,2020-08-30,2020-08-30
Crook,54,1,2259,2020-08-30,2020-08-30
Curry,20,0,1294,2020-08-30,2020-08-30
Deschutes,690,11,24019,2020-08-30,2020-08-30
Douglas,177,3,10210,2020-08-30,2020-08-30
Gilliam,4,0,244,2020-08-30,2020-08-30
Grant,8,0,703,2020-08-30,2020-08-30
Harney,12,0,689,2020-08-30,2020-08-30
Hood River,233,0,4413,2020-08-30,2020-08-30
Jackson,805,2,23912,2020-08-30,2020-08-30
Jefferson,457,7,4178,2020-08-30,2020-08-30
Josephine,154,2,8858,2020-08-30,2020-08-30
Klamath,235,2,8816,2020-08-30,2020-08-30
Lake,30,0,694,2020-08-30,2020-08-30
Lane,702,6,52725,2020-08-30,2020-08-30
Lincoln,465,13,7665,2020-08-30,2020-08-30
Linn,385,12,13592,2020-08-30,2020-08-30
Malheur,1170,19,4139,2020-08-30,2020-08-30
Marion,3794,80,39608,2020-08-30,2020-08-30
Morrow,437,3,1496,2020-08-30,2020-08-30
Multnomah,5975,118,117742,2020-08-30,2020-08-30
Polk,419,14,7170,2020-08-30,2020-08-30
Sherman,17,0,303,2020-08-30,2020-08-30
Tillamook,38,0,2609,2020-08-30,2020-08-30
Umatilla,2674,37,11600,2020-08-30,2020-08-30
Union,419,2,2937,2020-08-30,2020-08-30
Wallowa,22,1,828,2020-08-30,2020-08-30
Wasco,206,3,4293,2020-08-30,2020-08-30
Washington,3760,43,76792,2020-08-30,2020-08-30
Wheeler,0,0,152,2020-08-30,2020-08-30
Yamhill,630,14,14360,2020-08-30,2020-08-30
Total,26554,458,526791,2020-08-30,2020-08-30
