County,Cases1,Total deaths2,Negative tests3,date,Scraped.date
Baker,281,3,2893,11/29/2020,11/29/2020
Benton,791,7,22432,11/29/2020,11/29/2020
Clackamas,6160,77,92502,11/29/2020,11/29/2020
Clatsop,360,0,8187,11/29/2020,11/29/2020
Columbia,506,3,10331,11/29/2020,11/29/2020
Coos,425,3,11055,11/29/2020,11/29/2020
Crook,229,6,4013,11/29/2020,11/29/2020
Curry,135,2,2737,11/29/2020,11/29/2020
Deschutes,2368,15,47817,11/29/2020,11/29/2020
Douglas,930,18,18625,11/29/2020,11/29/2020
Gilliam,23,0,448,11/29/2020,11/29/2020
Grant,134,1,1541,11/29/2020,11/29/2020
Harney,99,1,1333,11/29/2020,11/29/2020
Hood River,401,1,6967,11/29/2020,11/29/2020
Jackson,3825,31,50099,11/29/2020,11/29/2020
Jefferson,834,11,7046,11/29/2020,11/29/2020
Josephine,537,4,17717,11/29/2020,11/29/2020
Klamath,872,4,13804,11/29/2020,11/29/2020
Lake,132,1,1422,11/29/2020,11/29/2020
Lane,4309,42,95440,11/29/2020,11/29/2020
Lincoln,622,15,11944,11/29/2020,11/29/2020
Linn,1424,23,24785,11/29/2020,11/29/2020
Malheur,2406,44,8198,11/29/2020,11/29/2020
Marion,9207,140,74652,11/29/2020,11/29/2020
Morrow,658,7,2536,11/29/2020,11/29/2020
Multnomah,17242,236,214309,11/29/2020,11/29/2020
Polk,1250,16,15288,11/29/2020,11/29/2020
Sherman,23,0,457,11/29/2020,11/29/2020
Tillamook,131,0,4236,11/29/2020,11/29/2020
Umatilla,4343,49,18104,11/29/2020,11/29/2020
Union,782,6,6194,11/29/2020,11/29/2020
Wallowa,71,3,1560,11/29/2020,11/29/2020
Wasco,530,19,7038,11/29/2020,11/29/2020
Washington,10347,101,136042,11/29/2020,11/29/2020
Wheeler,3,0,514,11/29/2020,11/29/2020
Yamhill,1729,16,26420,11/29/2020,11/29/2020
Total,74120,905,968686,11/29/2020,11/29/2020
Baker,278,3,2803,11/28/2020,11/28/2020
Benton,784,7,22305,11/28/2020,11/28/2020
Clackamas,6023,77,91913,11/28/2020,11/28/2020
Clatsop,359,0,8173,11/28/2020,11/28/2020
Columbia,488,3,10263,11/28/2020,11/28/2020
Coos,421,3,10920,11/28/2020,11/28/2020
Crook,219,6,3970,11/28/2020,11/28/2020
Curry,133,2,2731,11/28/2020,11/28/2020
Deschutes,2291,15,47590,11/28/2020,11/28/2020
Douglas,921,18,18457,11/28/2020,11/28/2020
Gilliam,23,0,433,11/28/2020,11/28/2020
Grant,134,1,1453,11/28/2020,11/28/2020
Harney,99,1,1176,11/28/2020,11/28/2020
Hood River,396,1,6800,11/28/2020,11/28/2020
Jackson,3768,30,49879,11/28/2020,11/28/2020
Jefferson,814,11,6679,11/28/2020,11/28/2020
Josephine,523,4,17596,11/28/2020,11/28/2020
Klamath,844,4,13706,11/28/2020,11/28/2020
Lake,124,1,1264,11/28/2020,11/28/2020
Lane,4250,42,95064,11/28/2020,11/28/2020
Lincoln,616,15,11673,11/28/2020,11/28/2020
Linn,1392,22,24476,11/28/2020,11/28/2020
Malheur,2387,42,7302,11/28/2020,11/28/2020
Marion,9082,139,73873,11/28/2020,11/28/2020
Morrow,654,7,2454,11/28/2020,11/28/2020
Multnomah,16587,234,213351,11/28/2020,11/28/2020
Polk,1214,16,15040,11/28/2020,11/28/2020
Sherman,23,0,453,11/28/2020,11/28/2020
Tillamook,126,0,4212,11/28/2020,11/28/2020
Umatilla,4325,49,17858,11/28/2020,11/28/2020
Union,779,6,6137,11/28/2020,11/28/2020
Wallowa,71,3,1448,11/28/2020,11/28/2020
Wasco,524,19,6983,11/28/2020,11/28/2020
Washington,10135,99,135776,11/28/2020,11/28/2020
Wheeler,3,0,253,11/28/2020,11/28/2020
Yamhill,1696,16,26180,11/28/2020,11/28/2020
Total,"72,506",896,"960,644",11/28/2020,11/28/2020
